"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Jahmyr Gibbs","1","RB",1,8,1.92,1.35
2,"Bijan Robinson","1","RB",1,17,2.41,1.87
3,"Ja'Marr Chase","1","WR",2,6,2.7,1.16
4,"Puka Nacua","1","WR",2,11,4.09,1.59
5,"Jaxon Smith-Njigba","1","WR",2,10,5.93,1.41
6,"Amon-Ra St. Brown","2","WR",6,14,7.21,1.26
7,"Jonathan Taylor","2","RB",2,20,7.27,3.59
8,"Christian McCaffrey","2","RB",3,37,9.48,5.68
9,"CeeDee Lamb","2","WR",7,24,10.23,3.18
10,"James Cook III","2","RB",4,15,10.71,2.92
11,"Justin Jefferson","2","WR",6,32,11.42,4.65
12,"Derrick Henry","3","RB",6,28,14.79,3.83
13,"Nico Collins","3","WR",10,35,15.54,5.24
14,"A.J. Brown","3","WR",9,38,16.62,6.35
15,"Drake London","3","WR",9,38,16.84,5.48
16,"Saquon Barkley","3","RB",5,33,17.01,5.81
17,"Brock Bowers","3","TE",15,34,17.27,3.61
18,"George Pickens","3","WR",9,38,19.04,6.15
19,"Ashton Jeanty","3","RB",5,45,19.08,7.62
20,"Trey McBride","4","TE",16,67,24.26,8.56
21,"Omarion Hampton","4","RB",12,47,24.55,8.45
22,"Josh Allen","4","QB",25,27,25.11,0.45
23,"Kenneth Walker III","4","RB",13,87,25.3,10.88
24,"Chase Brown","4","RB",8,47,26.47,7.86
25,"Rashee Rice","4","WR",9,65,26.92,10.62
26,"De'Von Achane","4","RB",8,42,27.04,7.73
27,"Chris Olave","4","WR",18,54,28.33,7.95
28,"Lamar Jackson","5","QB",25,62,30.53,8.31
29,"Zay Flowers","5","WR",11,65,32.17,9.65
30,"Kyren Williams","5","RB",13,49,32.21,8.31
31,"Tee Higgins","5","WR",19,50,32.63,6.84
32,"DeVonta Smith","5","WR",14,54,32.65,8.92
33,"Drake Maye","6","QB",25,79,35.65,11.43
34,"Emeka Egbuka","6","WR",10,61,35.85,9.49
35,"Josh Jacobs","6","RB",15,60,35.86,8.97
36,"Tetairoa McMillan","6","WR",18,54,36.26,8.3
37,"Malik Nabers","6","WR",11,75,36.55,13.62
38,"Javonte Williams","6","RB",15,52,37.55,7.86
39,"Colston Loveland","6","TE",16,94,38.01,12.79
40,"Breece Hall","7","RB",24,64,41.7,5.25
41,"Jeremiyah Love","7","RB",20,66,42.95,7.02
42,"Joe Burrow","7","QB",27,79,43.45,12.29
43,"Davante Adams","7","WR",19,80,44.99,8.09
44,"Ladd McConkey","7","WR",21,65,45.23,9.13
45,"Jameson Williams","8","WR",26,81,46.4,9.64
46,"Terry McLaurin","8","WR",31,74,47.07,8.22
47,"Jaylen Waddle","8","WR",24,70,47.38,10.64
48,"Christian Watson","8","WR",14,89,49.08,12.18
49,"Jayden Daniels","8","QB",29,90,49.27,14.95
50,"Travis Etienne Jr.","8","RB",22,72,49.41,8.79
51,"Garrett Wilson","9","WR",26,70,52.2,9.32
52,"Cam Skattebo","9","RB",37,71,52.54,6.9
53,"Mike Evans","9","WR",31,88,53.87,10.9
54,"Quinshon Judkins","9","RB",31,71,55.03,7.31
55,"D'Andre Swift","9","RB",40,71,55.35,6.54
56,"Luther Burden III","9","WR",38,70,55.45,8.36
57,"Jalen Hurts","9","QB",27,90,55.59,12.23
58,"Bucky Irving","9","RB",36,72,56.18,7.92
59,"Rome Odunze","9","WR",31,88,56.37,11.7
60,"David Montgomery","9","RB",30,95,56.91,8.59
61,"Tucker Kraft","9","TE",22,94,59.52,12.39
62,"TreVeyon Henderson","10","RB",37,78,60.02,8.31
63,"DJ Moore","10","WR",24,98,60.89,12.64
64,"Bhayshul Tuten","10","RB",37,117,61.96,11.99
65,"Tyler Warren","10","TE",22,86,63.48,11.58
66,"Jadarian Price","10","RB",30,113,64.86,10.09
67,"Caleb Williams","10","QB",27,100,66.5,14.43
68,"Justin Herbert","10","QB",29,107,68.17,14.37
69,"Marvin Harrison Jr.","11","WR",51,109,75.08,10.4
70,"Brian Thomas Jr.","11","WR",50,115,75.35,10.75
71,"Carnell Tate","11","WR",38,196,76.62,19.64
72,"Trevor Lawrence","11","QB",58,107,76.62,12.61
73,"Tony Pollard","11","RB",52,99,76.66,9.52
74,"Jaylen Warren","11","RB",54,102,76.95,8.91
75,"Alec Pierce","11","WR",46,129,76.99,12.56
76,"DK Metcalf","11","WR",50,93,77.83,8.96
77,"Dak Prescott","11","QB",53,107,78.13,11.7
78,"Sam LaPorta","11","TE",56,105,78.28,8.85
79,"Rhamondre Stevenson","11","RB",60,113,80.09,9.21
80,"Chuba Hubbard","12","RB",60,126,81.72,12.75
81,"Parker Washington","12","WR",54,125,81.78,14.89
82,"Rico Dowdle","12","RB",61,117,82.97,11.23
83,"Courtland Sutton","12","WR",51,115,84.33,12.34
84,"J.K. Dobbins","12","RB",60,126,84.47,14.13
85,"Harold Fannin Jr.","12","TE",56,123,86.04,10.95
86,"Kyle Pitts Sr.","12","TE",56,105,86.86,8.92
87,"Blake Corum","12","RB",63,131,87.91,12.86
88,"Quentin Johnston","13","WR",50,132,90.24,11.72
89,"Jaxson Dart","13","QB",53,118,91.66,13.45
90,"Kyle Monangai","13","RB",64,121,92.95,11.45
91,"Brock Purdy","13","QB",62,112,93.84,9.93
92,"Chris Godwin Jr.","13","WR",69,142,94.38,12.9
93,"Jordyn Tyson","13","WR",59,263,95.42,27.21
94,"Jordan Addison","14","WR",74,165,98.66,14.02
95,"George Kittle","14","TE",67,172,99.52,18.28
96,"Bo Nix","14","QB",73,128,101.1,9.96
97,"Michael Wilson","14","WR",69,142,101.22,14.08
98,"RJ Harvey","14","RB",57,143,101.27,18.36
99,"Patrick Mahomes II","14","QB",79,118,101.55,8.72
100,"Matthew Stafford","14","QB",53,135,102.43,14.48
101,"Jacory Croskey-Merritt","14","RB",72,134,102.53,13.71
102,"Makai Lemon","14","WR",61,238,103.91,24.02
103,"Dalton Kincaid","14","TE",76,154,104.41,14.85
104,"Travis Kelce","15","TE",79,144,106.42,10.55
105,"Jared Goff","15","QB",62,128,107.68,12.44
106,"Jayden Reed","15","WR",75,161,107.74,14.16
107,"Jordan Mason","15","RB",78,145,108.16,14.58
108,"Rachaad White","15","RB",77,151,108.62,13.98
109,"Jonathon Brooks","15","RB",64,340,109.43,38.09
110,"Michael Pittman Jr.","15","WR",70,147,110.58,13.91
111,"Aaron Jones Sr.","16","RB",77,140,111.8,13.92
112,"Kenny Gainwell","16","RB",92,151,112.45,10.81
113,"Mark Andrews","16","TE",67,172,112.55,19.09
114,"Kyler Murray","16","QB",73,167,113.62,13.9
115,"Jakobi Meyers","16","WR",74,162,113.91,16.63
116,"Dallas Goedert","16","TE",86,180,114.92,19.17
117,"Xavier Worthy","16","WR",81,148,115.16,15.71
118,"Isaiah Likely","17","TE",76,255,119.13,30.93
119,"Baker Mayfield","17","QB",90,146,119.65,10.46
120,"Josh Downs","17","WR",80,149,119.76,14.25
121,"Jordan Love","17","QB",100,158,122.36,10.04
122,"Wan'Dale Robinson","17","WR",75,169,122.85,15.68
123,"Chris Rodriguez Jr.","17","RB",87,181,123.05,17.06
124,"Tyler Shough","17","QB",97,152,123.58,12.27
125,"Jayden Higgins","17","WR",98,164,124.42,13.51
126,"Jake Ferguson","18","TE",93,157,129.38,12.99
127,"Romeo Doubs","18","WR",92,194,129.49,18.32
128,"Tyrone Tracy Jr.","18","RB",85,159,130.08,10.41
129,"Tyler Allgeier","18","RB",92,188,131.45,15.19
130,"Woody Marks","18","RB",92,174,132.2,15.3
131,"Zach Charbonnet","18","RB",72,263,133.54,24.63
132,"Malik Willis","18","QB",90,254,136.95,31.42
133,"Matthew Golden","19","WR",91,200,138.15,20.21
134,"Jalen Coker","19","WR",114,222,138.43,17.99
135,"Rashid Shaheed","19","WR",98,177,139.72,14.45
136,"Khalil Shakir","19","WR",114,173,143.12,13.81
137,"KC Concepcion","19","WR",98,302,144.47,36.88
138,"Isiah Pacheco","19","RB",102,188,142.56,13.34
139,"Tank Bigsby","20","RB",119,207,146.32,17.86
140,"Sam Darnold","20","QB",128,254,146.68,17.35
141,"C.J. Stroud","20","QB",124,241,146.93,18.33
142,"Keaton Mitchell","20","RB",113,236,145.82,23.77
143,"Brian Robinson Jr.","20","RB",126,265,149.4,16.26
144,"Alvin Kamara","20","RB",102,227,150.38,17.15
145,"Hunter Henry","20","TE",105,202,152.04,22.01
146,"Brenton Strange","20","TE",94,245,152.46,24.81
147,"Juwan Johnson","20","TE",105,225,154.86,25.12
148,"Tyjae Spears","20","RB",126,218,155.57,18.44
149,"Oronde Gadsden II","21","TE",96,245,157.86,31.67
150,"Dylan Sampson","21","RB",134,227,159.87,17.69
