"Rank","Player.Name","Tier","Position","Best.Rank","Worst.Rank","Avg.Rank","Std.Dev"
1,"Ja'Marr Chase","1","WR",1,3,1.58,0.9
2,"Jahmyr Gibbs","1","RB",1,7,2.91,1.55
3,"Puka Nacua","1","WR",1,9,3.33,1.45
4,"Bijan Robinson","1","RB",1,7,3.58,1.56
5,"Jaxon Smith-Njigba","1","WR",1,11,4.83,1.62
6,"Amon-Ra St. Brown","1","WR",3,9,5.63,1.36
7,"CeeDee Lamb","2","WR",4,16,8.58,1.9
8,"Justin Jefferson","2","WR",5,26,9.76,3.05
9,"Christian McCaffrey","2","RB",5,31,9.94,5.31
10,"Drake London","2","WR",8,26,12.43,3.66
11,"Jonathan Taylor","2","RB",6,33,12.64,5.88
12,"A.J. Brown","2","WR",6,36,14.53,5.85
13,"Nico Collins","3","WR",11,38,16.58,4.37
14,"Ashton Jeanty","3","RB",7,33,16.73,5.32
15,"Chase Brown","3","RB",7,34,17.41,6.04
16,"James Cook III","3","RB",7,34,17.95,7.63
17,"Brock Bowers","3","TE",10,32,19.27,3.84
18,"George Pickens","3","WR",12,51,20.33,6.78
19,"Trey McBride","3","TE",16,33,20.51,5.65
20,"Chris Olave","3","WR",11,51,20.97,7.4
21,"De'Von Achane","3","RB",10,41,21.47,6.86
22,"Rashee Rice","4","WR",8,46,22.6,9.18
23,"DeVonta Smith","4","WR",12,48,24,7.74
24,"Saquon Barkley","4","RB",10,41,25.51,6.99
25,"Omarion Hampton","4","RB",11,46,25.84,7.4
26,"Josh Allen","4","QB",21,37,25.92,2.76
27,"Malik Nabers","4","WR",8,60,27.29,11.32
28,"Kenneth Walker III","5","RB",13,56,29.13,8.76
29,"Zay Flowers","5","WR",12,49,29.77,8.18
30,"Garrett Wilson","5","WR",14,45,30.13,7.29
31,"Lamar Jackson","5","QB",25,59,32.1,9.28
32,"Tetairoa McMillan","6","WR",14,51,33.87,8.05
33,"Tee Higgins","6","WR",14,52,34.9,8.09
34,"Ladd McConkey","6","WR",15,49,35.94,7.11
35,"Jaylen Waddle","6","WR",18,59,37.05,7.9
36,"Emeka Egbuka","6","WR",14,51,37.07,7.88
37,"Derrick Henry","6","RB",16,56,38.56,8.03
38,"Colston Loveland","6","TE",22,97,38.9,15.58
39,"Drake Maye","6","QB",26,114,39.16,16.08
40,"Jeremiyah Love","6","RB",24,65,39.27,7.43
41,"Breece Hall","6","RB",26,67,40.17,6.45
42,"Kyren Williams","7","RB",23,56,42.22,6.67
43,"Terry McLaurin","7","WR",26,60,44.69,6.03
44,"Joe Burrow","7","QB",27,74,44.87,12.91
45,"Josh Jacobs","7","RB",29,61,44.95,7.28
46,"Javonte Williams","7","RB",31,61,45.35,6.54
47,"Luther Burden III","7","WR",26,83,46.42,8.56
48,"Travis Etienne Jr.","8","RB",34,72,50.55,8.25
49,"Davante Adams","8","WR",36,81,51.09,7.96
50,"Jayden Daniels","8","QB",27,104,52.98,16.5
51,"Tyler Warren","8","TE",22,87,53.43,11.04
52,"DJ Moore","8","WR",28,100,53.53,11.14
53,"Mike Evans","8","WR",38,82,53.8,9.82
54,"Cam Skattebo","8","RB",39,86,55.51,9.65
55,"Jameson Williams","9","WR",40,100,56.37,10.16
56,"Christian Watson","9","WR",40,109,56.76,11.18
57,"Jalen Hurts","9","QB",30,79,56.97,11
58,"Rome Odunze","9","WR",40,83,58.64,8.92
59,"Bucky Irving","9","RB",33,86,58.7,9.12
60,"D'Andre Swift","9","RB",43,80,58.76,7.69
61,"Quinshon Judkins","9","RB",41,80,61.1,9.33
62,"David Montgomery","9","RB",42,86,62.03,9.17
63,"TreVeyon Henderson","10","RB",41,86,64.9,10.06
64,"Carnell Tate","10","WR",45,176,66.91,18.89
65,"Parker Washington","10","WR",45,121,67.53,16.58
66,"Marvin Harrison Jr.","10","WR",45,96,68.28,11.47
67,"Caleb Williams","10","QB",37,98,68.31,11.66
68,"Bhayshul Tuten","11","RB",48,102,69.79,11.13
69,"Justin Herbert","11","QB",37,114,70.07,12.88
70,"Tucker Kraft","11","TE",32,111,73.07,13.1
71,"Jadarian Price","11","RB",43,89,75.11,8.82
72,"Jaylen Warren","12","RB",64,102,76.34,7.34
73,"Brian Thomas Jr.","12","WR",48,110,77.27,13.8
74,"Harold Fannin Jr.","12","TE",32,173,77.45,16.13
75,"Trevor Lawrence","12","QB",37,105,78.47,13.3
76,"DK Metcalf","12","WR",48,116,79.13,14.05
77,"Dak Prescott","12","QB",37,108,79.69,13.01
78,"Rhamondre Stevenson","12","RB",58,103,81.09,8.89
79,"Tony Pollard","12","RB",58,103,81.74,8.89
80,"Chris Godwin Jr.","12","WR",45,150,81.93,15.14
81,"Sam LaPorta","12","TE",55,111,82.13,11.37
82,"Kyle Pitts Sr.","12","TE",57,111,82.2,10.07
83,"Michael Pittman Jr.","12","WR",42,127,83.15,14.96
